bioID,pos,height,weight,birthDate
burgeli01w,F,185,78,1969-07-27
burraal01w,C,190,98,1975-06-23
burseja01w,C,195,90,1979-05-19
buttsta01w,G,180,72,1982-03-10
byearla01w,G-F,180,93,1973-08-12
byrdla01w,G,167,59,1960-02-01
cabezli01w,F-C,190,80,1973-10-25
cainke01w,C,198,99,1989-05-16
camba01w,C,203,97,1991-08-18
campbed01w,G,172,68,1968-11-26
campbmi01w,F-C,195,77,1974-02-20
cantydo01w,G-F,175,73,1977-03-02
careyja01w,G,167,61,1981-03-12
carsoes01w,G-F,182,74,1986-07-28
carteam01w,F,187,83,1982-06-21
cartede01w,G-F,182,83,1972-01-03
cartesy01w,G,167,65,1990-11-18
cashsw01w,F,185,73,1979-09-22
cassija01w,C,190,84,1978-09-12
castriz01w,F-G,182,63,1982-03-13
catchta01w,F,185,75,1979-07-21
caufila01w,G,175,72,1980-05-25
cebriel01w,C,195,86,1971-02-07
chacoke01w,G,175,68,1974-12-21
chambco01w,G,175,72,1985-07-06
chanequ01w,G,180,72,1986-04-14
chapmji01w,C,190,93,1979-11-04
charlda01w,F-C,190,63,1968-11-22
charlti01w,C,193,89,1988-12-05
chaseso01w,G,175,68,1976-03-09
cheekjo01w,F,185,91,1988-06-25
cheruam01w,G,177,63,1970-04-18
chestfe01w,F,190,81,1988-03-24
choneka01w,C,190,81,1981-01-11
chriska01w,F,187,77,1980-11-16
chriska02w,F,182,81,1989-09-11
chrissh01w,F,185,77,1982-02-15
cironkr01w,G,172,68,1987-05-19
clarkal01w,F,177,75,1987-07-07
clarkma01w,F-C,190,77,1971-01-01
clearmi01w,G,167,57,1974-07-16
clinest01w,G,165,67,1978-04-22
coggicl01w,G,180,77,1985-05-19
cokermo01w,F,185,81,1982-11-28
colemco01w,F,182,77,1981-04-13
colemma01w,G-F,185,72,1987-01-04
colleka01w,G-F,177,65,1971-03-17
colsosy01w,G,172,63,1989-08-06
compame01w,G,175,64,1975-09-18
congran01w,F-C,187,83,1970-06-03
conklab01w,F,190,79,1975-02-10
consuca01w,G,172,65,1979-03-04
coopeca01w,C,193,79,1979-02-05
coopecy01w,G,177,68,1963-04-14
crawlsy01w,F-C,195,84,1972-09-27
crockda01w,F,185,71,1981-02-11
crockwi01w,F,187,97,1984-07-05
cronika01w,G,182,70,1977-09-08
crosssh01w,G,177,70,1983-09-07
crumpca01w,G,177,71,1962-10-29
cummiki01w,F,190,85,1963-08-29
cunnibe01w,G,182,73,1975-06-05
cunnida01w,F,182,84,1980-01-27
cunnima01w,F-C,193,77,1973-05-20
currimo01w,F,182,80,1983-02-25
curryed01w,G,162,62,1979-07-09
dalesst01w,G-F,182,70,1979-09-05
daleygr01w,G,167,66,1978-06-26
darlihe01w,G,167,74,1978-08-29
davenje01w,C,195,97,1985-06-24
davisbr01w,G,182,78,1983-01-01
daviscl01w,F,185,74,1967-06-04
davisde01w,G,170,62,1984-11-08
davisla01w,G,170,65,1974-10-08
davista01w,F,177,72,1972-09-25
davista02w,G,180,65,1987-06-07
dedenka01w,F,193,77,1969-09-23
deforan01w,G,177,72,1976-04-14
derevje01w,G,177,63,1982-03-29
desouer01w,F-C,195,86,1982-03-03
dickeke01w,F,180,74,1978-04-20
dillata01w,G,175,69,1981-05-06
dixonin01w,C,190,81,1972-09-16
dixonta01w,G,175,67,1975-12-14
doagela01w,G,167,62,1975-05-15
domonna01w,G,177,59,1975-09-28
donapbe01w,F-C,187,88,1980-08-27
doronsh01w,G,175,65,1985-04-01
dossaci01w,C,195,84,1975-01-31
douglka01w,G-F,182,75,1979-05-07
duffyme01w,G,170,61,1984-07-13
dunlavi01w,F,185,72,1989-09-19
dupreca01w,F,187,73,1984-08-16
dydekka01w,F-C,200,86,1970-03-21
dydekma01w,C,191,101,1974-04-28
edwarmi01w,G,175,68,1966-03-06
edwarsi01w,C,193,74,1973-11-17
edwarte01w,G-F,180,70,1964-07-09
edwarto01w,G,177,72,1968-03-13
elysh01w,F,187,82,1983-08-09
enissh01w,F-C,185,83,1974-12-03
erbsu01w,C,198,108,1977-07-25
ervinla01w,F,193,77,1985-03-24
evansda01w,G,170,65,1989-06-30
evansde01w,G,162,56,1970-10-11
fallotr01w,G-F,190,74,1972-07-23
farriba01w,C-F,190,90,1976-09-10
feastal01w,F,180,76,1976-02-11
feifesu01w,G,185,73,1979-01-29
feldeja01w,F,185,74,1969-10-16
ferdima01w,G,175,69,1978-10-13
fernama01w,G,180,62,1981-12-21
ferrama01w,F,190,86,1972-02-11
figgsuk01w,G,175,64,1977-03-31
fijalis01w,C,195,90,1972-05-23
firsool01w,C,198,97,1976-04-23
floremi01w,G,167,56,1977-10-19
flukety01w,C,195,94,1984-12-27
folklkr01w,F,187,86,1975-12-19
fordch01w,F,190,89,1981-06-06
fordki01w,G-F,177,69,1975-04-04
fordst01w,F,187,83,1969-01-14
fosteto01w,F,185,79,1971-10-16
fowlesy01w,C,198,90,1985-10-06
francde01w,F,177,87,1975-08-24
frankaq01w,G,162,69,1985-09-29
frazeme01w,F,190,86,1987-03-29
freemla01w,F,185,79,1971-03-17
fresest01w,G,172,57,1976-09-23
frettla01w,F,190,77,1975-06-12
friertr01w,F,187,84,1979-08-23
frohlli01w,F-C,190,83,1979-06-23
frostsh01w,C,193,83,1966-12-19
futreca01w,G,177,69,1982-07-10
gaithka01w,C,190,77,1975-08-13
gamblam01w,F,177,73,1964-12-17
ganttr01w,C,187,82,1971-10-10
garcibe01w,G,165,61,1976-09-03
gardike01w,F,185,76,1984-05-19
gardnan01w,F-C,190,86,1979-12-23
garnean01w,F-C,190,72,1979-01-05
gaydeco01w,G,175,68,1971-05-11
gaypi01w,G-F,180,83,1974-08-21
gearlka01w,G-F,185,83,1984-10-26
gessiki01w,F,190,79,1970-12-29
gibsoke01w,F-G,177,61,1976-11-10
gilbrbr01w,G,185,65,1990-08-16
gilloje01w,F-C,190,81,1964-06-13
gilmous01w,G,180,71,1978-08-24
gisseka01w,F,185,80,1985-07-27
givench01w,G,177,65,1985-07-26
godbyli01w,F-C,198,73,1968-10-17
gomisem01w,G,180,60,1983-10-18
goodemo01w,G,167,58,1972-02-08
goodeti01w,F,180,74,1975-10-23
goodlsa01w,C,195,108,1990-08-09
goodsad01w,F,182,74,1966-10-19
gordobr01w,F,182,72,1967-04-27
goringi01w,C,200,102,1983-06-07
gortmsh01w,G,177,71,1979-12-07
grahama01w,C,190,108,1970-12-18
granter01w,G,172,56,1984-06-13
gravede01w,C,195,96,1975-09-16
graylal01w,G,172,79,1987-04-21
grecomi01w,G,175,65,1980-03-24
greenci01w,C,195,83,1983-04-04
greenka01w,G,177,77,1987-07-13
grginve01w,F,185,72,1975-01-13
griffke01w,F,187,81,1987-07-02
griffyo01w,C-F,190,85,1970-03-01
groomla01w,G-F,177,72,1970-09-12
grubigo01w,G,180,74,1972-08-20
grudasa01w,F-C,193,83,1987-06-25
guytowa01w,F,185,80,1965-10-14
hagiwmi01w,G,180,73,1970-04-27
hairska01w,F,182,68,1985-08-18
hallam01w,F,190,81,1977-12-29
hallvi01w,F,185,81,1969-10-03
hamblan01w,G,177,77,1976-09-30
hammobe01w,G,167,61,1977-03-11
hamptky01w,F,187,95,1962-11-03
hamzoro01w,G,175,68,1970-08-17
hardili01w,G,172,63,1984-06-12
hardish01w,G,175,74,1969-06-27
harpela01w,F-C,195,86,1986-04-11
harriam01w,F,195,91,1988-01-16
harrido01w,F,190,86,1966-09-29
harrifr01w,G,182,69,1965-03-12
harrili01w,F,185,74,1971-01-02
harrokr01w,G,162,63,1975-03-04
haydeva01w,C,193,108,1982-06-05
hayesti01w,G,177,65,1989-09-20
haynikr01w,G,175,66,1983-06-17
headde01w,G,177,72,1970-08-16
hedgpch01w,G,175,64,1972-02-17
hemmera01w,F-C,190,77,1973-04-02
hendene01w,G,172,65,1973-02-28
hendetr01w,C,190,90,1974-12-31
henniso01w,G,170,64,1969-10-04
henryan01w,F,190,92,1986-02-13
herriam01w,C,193,85,1977-06-06
hibbeka01w,G-F,177,63,1977-09-29
hicksje01w,F-C,193,85,1971-12-02
hightal01w,G,177,63,1988-04-06
hillec01w,G,170,78,1971-04-06
hledeko01w,G,175,68,1975-03-29
hodgeda01w,G-F,185,77,1968-01-21
hodgedo01w,G,175,72,1982-07-19
hodgero01w,G,180,74,1982-07-19
hodgesa01w,F-G,175,69,1962-07-31
hoffmeb01w,F,187,97,1982-08-27
holdsch01w,F,187,78,1977-08-09
hollake01w,G,172,58,1974-11-05
holliqu01w,C,195,91,1988-11-15
holmejo01w,F,177,68,1969-03-31
holmese01w,G-F,185,70,1986-06-13
holtam01w,F,182,76,1985-06-07
hopeky01w,C,187,74,1977-11-23
hopsosu01w,F-C,187,79,1974-06-21
hornbal01w,G,180,70,1985-10-16
houstch01w,F,182,85,1986-04-10
houtsas01w,G,167,63,1987-12-31
howarje01w,G,167,58,1975-01-21
howarme01w,G,175,65,1972-04-02
hudsopa01w,F,180,63,1968-09-19
humphta01w,C,190,86,1985-12-29
ibekwif01w,F,187,74,1989-10-05
irvinsa01w,F,190,83,1982-02-23
ivanyda01w,G,177,61,1976-03-18
iveyni01w,G,170,67,1977-09-24
jacksan01w,C,193,92,1976-03-30
jacksde01w,F,187,70,1979-12-15
jacksgw01w,F,190,82,1980-10-23
jacksla01w,F-C,195,84,1981-05-11
jacksta01w,F-C,190,81,1962-12-03
jacksta02w,G,167,53,1978-04-22
jacksti01w,F,180,67,1972-04-21
jacksti02w,F,190,83,1985-04-26
jacobam01w,G,172,68,1982-06-29
jacobje01w,G,172,58,1973-02-20
jamesta01w,F,175,71,1984-06-13
januabr01w,G,172,65,1987-01-11
jekaban01w,G,175,81,1983-08-12
joensca01w,G-F,180,74,1981-02-12
johnsad01w,G,177,69,1974-02-05
johnsch01w,C,190,83,1981-03-19
johnsda01w,C,187,89,1973-02-19
johnsgl01w,F,190,77,1990-07-27
johnsja01w,F,182,91,1979-03-16
johnsla01w,F,185,68,1975-08-17
johnsle01w,F,187,99,1975-01-12
johnsni01w,G,175,66,1973-02-07
johnspo01w,C,190,74,1975-11-06
johnssh01w,G,170,68,1974-08-18
johnssh02w,G,180,65,1990-12-08
johnste01w,G,160,59,1982-09-06
johnsti01w,C,193,108,1975-12-27
johnsvi01w,G-F,175,68,1972-04-15
jollyke01w,G,175,67,1977-05-03
jonesas01w,F,187,88,1980-08-01
jonesch01w,G-F,175,68,1982-03-25
jonesja01w,G,175,71,1978-09-13
jonesla01w,G,185,81,1977-07-24
jonesma01w,G,177,68,1975-10-12
jonesme01w,G,175,66,1973-07-21
jordapa01w,C,190,92,1968-04-27
joyneja01w,F,177,69,1962-03-03
kaplaan01w,C,195,81,1973-04-22
kausaan01w,F,182,70,1970-11-30
kellycr01w,F,187,86,1986-09-15
kingbsu01w,G,170,61,1981-07-27
kingija01w,G,172,68,1976-01-20
kizerly01w,F-C,193,97,1990-04-04
klimezu01w,F,187,82,1979-01-21
kobryew01w,F-C,190,95,1982-05-07
koehnla01w,G,172,65,1982-05-13
korstil01w,G,177,72,1980-05-30
kossgr01w,F,185,65,1974-06-12
kostaan01w,G,170,62,1978-03-26
kostita01w,F,185,73,1972-11-10
kraayca01w,F,193,81,1981-09-30
kubikni01w,G,175,65,1978-03-01
kukloan01w,G,182,68,1971-07-16
laceyal01w,G,182,72,1987-12-26
lacyje01w,F,190,79,1983-03-21
lacyna01w,G,177,74,1985-07-08
lacyve01w,C,193,106,1967-02-09
lambesh01w,G,170,56,1980-07-21
lambmo01w,C,195,93,1964-10-11
langeme01w,F-C,198,92,1969-04-28
langhcr01w,F-C,187,83,1986-10-27
langja01w,F,182,83,1972-06-23
larakr01w,G,172,58,1969-09-30
larkier01w,F,185,95,1986-04-02
lassiam01w,F,185,72,1979-06-09
lattaiv01w,G,167,64,1984-09-24
lavenja01w,C,193,83,1988-11-12
lawsoed01w,G,167,58,1979-05-14
lawsoka01w,G,175,74,1981-02-14
lazicka01w,F-C,177,66,1980-05-25
lehnish01w,G,175,66,1986-10-27
lennobe01w,G,172,64,1976-12-04
leslili01w,C,195,77,1972-07-07
leuchye01w,C,195,88,1983-04-30
levanni01w,G,172,73,1979-05-17
levesni01w,G,160,52,1972-04-11
lewista01w,F-C,187,96,1979-07-10
lewisty01w,G,177,68,1979-05-08
liebena01w,G,177,68,1958-07-01
lilleta01w,G,167,58,1988-02-29
listr01w,G-F,177,69,0000-00-00
littlca01w,F,187,81,1985-01-18
lloydan01w,F,187,79,1965-02-09
lobore01w,F,193,86,1973-10-06
lovelst01w,F,193,77,1974-12-05
luckepa01w,F,185,74,1975-05-14
luzhe01w,G,172,65,1972-11-23
lyttlsa01w,F,193,79,1983-09-20
mabikmw01w,G-F,180,74,1976-07-27
macchla01w,F,185,76,1979-05-24
machacl01w,C-F,195,81,1976-10-04
mahonme01w,F,182,72,1983-02-13
mahonsh01w,F,193,80,1977-07-03
maigaha01w,G-F,185,72,1978-04-25
malcona01w,F,185,77,1975-11-27
malloam01w,G,162,67,1970-04-21
malloso01w,C,195,95,1981-09-02
maltsev01w,G,180,74,1978-12-20
mannish01w,F-C,190,84,1969-03-20
mannkr01w,F,185,83,1983-08-10
mapprh01w,C,187,86,1969-10-13
marcimi01w,G,177,69,1973-10-29
margiga01w,F,185,74,1987-02-12
martima01w,F,193,78,1978-04-17
martinu01w,G,175,75,1984-02-29
mascira01w,F,182,76,1980-09-30
maslemi01w,F,187,77,1974-10-10
matteca01w,G,175,75,1982-08-22
matteka01w,C,203,108,1982-11-17
maxwean01w,F,180,84,1974-04-07
maxwemo01w,F,175,73,1976-12-21
maytuet01w,F,182,74,1973-04-28
mazzake01w,G,182,70,1982-02-02
mccaibr01w,G,160,61,1979-09-21
mccaiti01w,G-F,177,75,1976-10-06
mccanra01w,F,185,73,1986-11-17
mccarja01w,C,187,92,1982-11-03
mccarjo01w,G,170,58,1974-10-26
mccarst01w,G-F,175,70,1977-06-20
mcclaka01w,F-C,187,81,1965-09-19
mcconsu01w,G,165,56,1966-07-29
mccouan01w,F,185,72,1986-09-10
mccrada01w,G-F,180,77,1987-10-08
mccrani01w,G,180,71,1971-12-11
mccrini01w,G,172,56,1972-03-22
mcculda01w,F-C,190,81,1975-01-18
mcgeepa01w,C-F,190,90,1962-12-01
mcgheca01w,F-C,185,81,1968-03-06
mckivte01w,C-F,190,99,1980-10-05
mcwilta01w,F-C,187,85,1970-10-20
melvich01w,C-F,190,83,1976-05-03
mendigi01w,G,180,78,1982-01-09
miaomi01w,G,180,69,1981-06-03
millebr01w,C,193,81,1987-08-10
milleco01w,G,175,63,1978-09-06
milleke01w,G,177,63,1978-09-06
millsta01w,C,190,105,1976-02-29
miltode01w,F,185,83,1974-09-11
mitchle01w,G,165,58,1985-06-15
mizrali01w,G,170,58,1970-06-24
moeggli01w,F,185,88,1984-05-25
moisead01w,G,167,63,1978-12-06
mokanch01w,F,195,74,1988-10-13
monroja01w,C,195,73,1988-09-04
montaan01w,F,185,86,1980-10-24
montgal01w,G-F,185,83,1988-11-12
montgre01w,G,170,63,1986-12-02
mooreja01w,C,185,93,1979-11-06
mooreje01w,F-C,190,79,1982-07-09
moorelo01w,G,175,74,1983-03-21
moorema01w,F,182,79,1989-06-11
moorena01w,G,177,65,1984-11-04
moorepe01w,F,182,61,1969-01-25
mooreta01w,G-F,180,75,1980-04-11
mooreyo01w,F,182,78,1974-07-01
moosca01w,F-C,198,82,1978-05-23
morehmo01w,F-C,190,79,1974-01-18
morgale01w,F,185,74,1969-11-01
morrije01w,G,175,66,1987-07-21
morrila01w,F,185,72,1974-05-26
morrizi01w,C,193,81,1989-02-15
mosbybe01w,F,185,78,1984-02-14
mosleju01w,F,185,77,1968-03-17
moweje01w,C,195,107,1978-02-25
mulitna01w,C,190,93,1976-03-06
murphsh01w,G,180,74,1985-04-15
nagyan01w,G,170,66,1971-11-16
nanch01w,C,198,92,1983-01-06
ndiayas01w,F-C,190,82,1973-11-05
ndongem01w,C,187,77,1983-04-25
nemcoev01w,F,187,80,1972-12-03
neroja01w,F,180,81,1968-11-08
nevescl01w,G,172,61,1975-02-17
newtoch01w,G,180,69,1983-02-17
ngarsch01w,C,190,76,1983-06-23
ngoyibe01w,C,193,88,1982-08-26
nichoti01w,G,160,66,1973-09-27
nieuwma01w,C,195,81,1980-04-12
nikolmi01w,F,190,83,1971-07-04
nnamach01w,G,182,70,1985-06-15
nolande01w,G-F,175,66,1979-08-25
novosna01w,G,180,74,0000-00-00
nygaava01w,F,185,75,1975-03-13
ogayu01w,G,167,63,1982-10-17
ogwumnn01w,F,187,74,1990-07-02
oheaje01w,G-F,185,78,1987-06-06
ohldeni01w,F-C,195,86,1982-03-13
olajuab01w,C,193,107,1988-07-06
oneilkr01w,G-F,185,71,1983-04-12
orrki01w,G,167,63,1975-09-16
osburde01w,C,193,81,1972-02-11
osipoir01w,C,195,86,1981-06-25
owenhe01w,F,195,96,1976-05-06
owenssh01w,C,187,79,1978-05-16
pageda01w,F,187,81,1986-11-14
pagemu01w,F,187,72,1975-09-18
paigeyo01w,G,167,66,1983-09-18
paliesa01w,G,170,72,1981-07-23
palmewe01w,F,187,74,1974-08-12
parisco01w,C,193,113,1987-09-21
parkeca01w,F,193,79,1986-04-19
pascafl01w,C,193,84,1982-01-19
paschti01w,F,185,74,1969-03-22
pavlimi01w,F-C,190,79,1977-11-27
payeka01w,G,172,68,1974-03-06
pederka01w,F,193,86,1989-04-04
penicti01w,G,180,65,1974-09-18
pennjo01w,F,182,72,1979-09-10
perazja01w,G-F,182,77,1960-12-06
perkiji01w,G,172,70,1982-02-23
perpeer01w,F-G,190,82,1979-06-05
perroki01w,G,165,58,1967-01-18
peterde01w,F,187,77,1989-10-08
petroso01w,F,185,74,1989-02-18
pettibr01w,G,175,68,1971-01-01
philler01w,G,170,73,1985-05-19
phillpo01w,F,187,78,1988-01-13
phillta01w,F-C,187,90,1969-03-06
phillta02w,C,198,89,1989-01-24
pierspl01w,F-C,187,82,1981-08-30
plowdvi01w,F,182,74,1971-07-22
pohleje01w,G,182,81,1989-05-02
pollica01w,F,195,74,1966-03-16
pondeca01w,G,175,72,1983-01-07
potthan01w,F,185,86,1974-06-12
powelel01w,G,172,68,1975-08-09
powelni01w,F,187,79,1982-06-22
prahasa01w,G,170,58,1990-01-23
pricear01w,G-F,175,60,1985-04-03
pricefr01w,G,175,80,1968-04-28
priceka01w,G,177,67,1975-12-03
pridely01w,F-G,187,81,1978-10-16
princep01w,G,175,75,1988-01-11
pringla01w,F-C,190,73,1986-09-11
queenbr01w,F,187,83,1984-04-10
quiglal01w,G,177,63,1986-06-20
quinnno01w,G,182,79,1985-01-03
quinnte01w,F,193,74,1974-09-07
radunha01w,C,190,84,1978-01-10
raglafe01w,G,170,60,1980-02-03
randase01w,G,175,74,1979-02-07
rasmukr01w,F,193,78,1978-11-01
ravenbr01w,G,182,73,1988-08-01
raymost01w,G,165,63,1985-01-15
raymota01w,F,187,88,1980-04-12
reddja01w,F,185,74,1977-11-05
redmoka01w,G-F,185,69,1988-10-11
reedbr01w,F,185,76,1977-02-17
reedch01w,F,185,74,1989-03-28
reedmi01w,G,180,74,1973-05-24
reidtr01w,F,180,68,1976-11-01
reissta01w,G,167,58,1970-04-02
resska01w,F,193,87,1985-06-26
reynoch01w,F,187,81,1972-02-08
rileyan01w,G,165,61,1988-07-22
rileyru01w,C,195,89,1979-08-28
rizzoje01w,G,167,66,1974-05-15
roberav01w,G,175,65,1970-01-29
roberny01w,C,190,94,1976-03-10
robinas01w,C,193,81,1982-08-12
robincr01w,F-G,180,70,1974-01-22
robinda01w,G,175,56,1989-05-10
robinre01w,G,180,75,1978-06-15
robinsc01w,G,180,70,1983-01-09
rolanja01w,G-F,185,75,1975-02-03
rossad01w,G,172,64,1984-11-23
rouilni01w,G,170,58,1970-01-23
roundsa01w,G,170,65,1976-10-04
ruffje01w,G-F,180,63,1974-09-12
rushle01w,F,185,79,1984-10-25
ryankr01w,F,180,68,1972-11-19
rycraeu01w,C,190,79,1968-12-06
salesny01w,G-F,182,83,1976-05-10
sampsch01w,G,180,79,1974-09-01
sampsto01w,G,177,65,1972-03-02
samsh01w,F-G,182,72,1974-05-05
sanchis01w,G,177,68,1976-11-28
sandeam01w,G,180,70,1983-06-05
sandish01w,G,182,65,1969-01-22
sanfona01w,F-C,193,90,1976-05-10
sanniol01w,C,187,81,1986-08-21
santoal01w,C,195,82,1973-12-02
santoke01w,F,190,85,1979-11-10
sarenra01w,C,198,100,1974-06-27
sauerpa01w,C,193,92,1977-12-08
saundja01w,F,180,65,1979-08-21
saureau01w,G,177,73,1976-10-31
savasla01w,G,172,60,1974-03-18
schumke01w,C,195,83,1977-10-14
schwege01w,G-F,182,72,1979-01-31
scottol01w,C,187,79,1976-08-05
scottra01w,F,190,76,1975-08-12
shakiel01w,F-C,190,86,1970-06-02
sharpkb01w,G,175,65,1981-04-18
sheetsh01w,G,167,58,1975-08-15
shegoch01w,C,195,81,1990-02-22
shielas01w,G,177,70,1985-07-15
shudlca01w,C,182,81,1972-05-13
shulead01w,G,167,69,1969-04-24
simondy01w,G,165,62,1989-09-29
simpsda01w,F,190,72,1969-04-11
slaisma01w,G,172,78,1973-08-23
slauggw01w,F,190,82,1980-07-01
slavtge01w,G,185,72,1979-10-20
smithai01w,F,187,78,1980-07-18
smithbr01w,F-C,190,88,1984-04-30
smithch01w,G,170,63,1975-08-14
smithch02w,F,177,65,1975-05-02
smithch03w,G,182,67,1973-08-23
smithcr01w,G,167,54,1984-03-12
smithje01w,C,190,89,1982-04-10
smithka01w,G-F,180,78,1974-06-04
smithki01w,F,185,71,1984-05-07
smithla01w,G,170,68,1974-02-06
smithta01w,F-C,193,72,1977-04-01
smithty01w,F,182,74,1985-04-21
smithwa01w,G,180,79,1985-07-09
snellbe01w,G,175,77,1981-10-01
snowmi01w,C,195,71,1980-03-20
sobrale01w,F,185,83,1974-11-22
sobrama01w,C,190,73,1964-03-23
spencsi01w,G,190,83,1985-03-07
spornra01w,F,187,68,1968-05-26
stafftr01w,F,185,81,1970-11-11
staleda01w,G,167,60,1970-05-04
stansti01w,F-C,190,83,1983-01-16
starbka01w,G,185,69,1975-07-30
stedika01w,F-G,182,78,1967-12-11
stepama01w,C,203,84,1979-02-23
stephre01w,G,180,72,1969-12-28
stephst01w,C,193,92,1982-01-21
sterkca01w,F,187,77,0000-00-00
stevema01w,F-C,190,75,1982-02-04
stileja01w,G,172,65,1978-12-21
stillva01w,F-C,185,68,1961-05-14
stinsan01w,G,177,71,1967-11-25
stiresh01w,F,180,94,1972-05-21
stockta01w,F-C,187,74,1979-01-29
streiju01w,F,187,74,1972-05-14
stricsh01w,G-F,187,80,1990-07-30
strotan01w,G-F,190,75,1983-12-11
suberto01w,G,170,62,1974-11-23
summela01w,C,187,75,1983-12-13
sun-mju01w,C,185,76,1974-10-12
suttota01w,C,193,90,1978-01-27
swanike01w,G,170,65,1986-08-10
swoopsh01w,F-G,182,65,1971-03-25
swordca01w,C,198,95,1989-07-19
sykesap01w,G-F,182,69,1990-07-30
tatede01w,G,172,68,1966-05-13
tateso01w,G,167,71,1971-09-07
tauradi01w,F-G,182,78,1982-06-11
tayloli01w,C,203,90,1981-05-20
taylope01w,F,185,76,1981-05-24
teaslni01w,G,182,76,1979-03-22
teilaza01w,C,200,77,1983-09-24
terryka01w,C-F,190,83,1983-10-21
